committee name,committee link
Agriculture,congress.gov/committee/house-agriculture/hsag00
Appropriations,congress.gov/committee/house-appropriations/hsap00
Armed Services,congress.gov/committee/house-armed-services/hsas00
Budget,congress.gov/committee/house-budget/hsbu00
Education and Labor,congress.gov/committee/house-education-and-labor/hsed00
Energy and Commerce,congress.gov/committee/house-energy-and-commerce/hsif00
Ethics,congress.gov/committee/house-ethics/hsso00
Financial Services,congress.gov/committee/house-financial-services/hsba00
Foreign Affairs,congress.gov/committee/house-foreign-affairs/hsfa00
Homeland Security,congress.gov/committee/house-homeland-security/hshm00
House Administration,congress.gov/committeecongress.gov/committee-on-house-administration/hsha00
Judiciary,congress.gov/committee/house-judiciary/hsju00
Natural Resources,congress.gov/committee/house-natural-resources/hsii00
Oversight and Reform,congress.gov/committee/house-oversight-and-reform/hsgo00
Rules,congress.gov/committee/house-rules/hsru00
"Science, Space, and Technology",congress.gov/committee/house-science-space-and-technology/hssy00
Small Business,congress.gov/committee/house-small-business/hssm00
Transportation and Infrastructure,congress.gov/committee/house-transportation-and-infrastructure/hspw00
Veterans' Affairs,congress.gov/committee/house-veterans-affairs/hsvr00
Ways and Means,congress.gov/committee/house-ways-and-means/hswm00
"Agriculture, Nutrition, and Forestry",congress.gov/committee/senate-agriculture-nutrition-and-forestry/ssaf00
Appropriations,congress.gov/committee/senate-appropriations/ssap00
Armed Services,congress.gov/committee/senate-armed-services/ssas00
"Banking, Housing, and Urban Affairs",congress.gov/committee/senate-banking-housing-and-urban-affairs/ssbk00
Budget,congress.gov/committee/senate-budget/ssbu00
"Commerce, Science, and Transportation",congress.gov/committee/senate-commerce-science-and-transportation/sscm00
Energy and Natural Resources,congress.gov/committee/senate-energy-and-natural-resources/sseg00
Environment and Public Works,congress.gov/committee/senate-environment-and-public-works/ssev00
Finance,congress.gov/committee/senate-finance/ssfi00
Foreign Relations,congress.gov/committee/senate-foreign-relations/ssfr00
"Health, Education, Labor, and Pensions",congress.gov/committee/senate-health-education-labor-and-pensions/sshr00
Homeland Security and Governmental Affairs,congress.gov/committee/senate-homeland-security-and-governmental-affairs/ssga00
Judiciary,congress.gov/committee/senate-judiciary/ssju00
Rules and Administration,congress.gov/committee/senate-rules-and-administration/ssra00
Small Business and Entrepreneurship,congress.gov/committee/senate-small-business-and-entrepreneurship/sssb00
Veterans' Affairs,congress.gov/committee/senate-veterans-affairs/ssva00
